PLAYER_ID,POSITION
1630171,Forward-Guard
1630170,Guard-Forward
1630173,Forward
1642461,Forward
1630175,Guard
203114,Forward
1630174,Guard-Forward
1630178,Guard
1630172,Forward
1630180,Guard-Forward
1630182,Guard
1630183,Forward
1642873,Forward-Center
1630188,Forward-Center
1642874,Forward
1630191,Forward-Center
1630192,Forward-Center
1630193,Guard
1630194,Forward
1642484,Guard
1630198,Guard
1630200,Guard
1630202,Guard
